"","BID","SMAPE","RMSE","MAE","MSE"
"1",1,2.79343199108308,94.9066392623937,64.5392835007503,9007.27017608213
"2",2,3.5839134774797,90.7505764458727,55.9928179970954,8235.66712525819
"3",3,3.49206178165131,90.3505494120263,54.0012690972347,8163.22177905501
"4",4,1.67955759814106,24.129850944838,16.785472423379,582.249706620099
"5",5,4.09195550382699,250.945813220913,123.138720250495,62973.8011731052
"6",6,1.89060421339918,54.7555693858422,35.1006946106218,2998.17237876777
"7",7,2.83979805293943,30.9705156452545,20.0194654391525,959.172839332956
"8",8,1.60300941003919,30.037586549645,20.9699066753245,902.256605727412
"9",9,1.77990046963605,59.5896897061025,38.3808376339294,3550.93111926958
"10",10,1.36458135335273,73.259828838696,54.2887992444849,5367.00252147503
"11",11,1.22179199370894,33.3072661395551,23.445259142478,1109.37397769115
"12",12,1.36894828372954,29.2170880362164,19.5511434650723,853.638233316021
"13",13,1.47323714016172,50.139963097631,35.9371459132519,2514.0158994318
"14",14,3.52080808058143,83.0544750478863,62.7813262983578,6898.04582547996
"15",15,1.16827571448061,28.0068101680857,19.8454936474932,784.381415791189
"16",16,2.83511872724975,132.430528214762,76.6898278485794,17537.8448032409
"17",17,1.7184008827384,31.8226769672214,16.7814965078783,1012.68276936012
"18",18,1.65903195646115,43.9941181137562,24.3938800102131,1935.48242860713
"19",19,2.23837395473818,49.4856957670327,30.0102213965734,2448.83408554732
"20",20,1.81941322036468,72.6276471403392,32.6885296387939,5274.77512914162
"21",21,2.12320373800628,72.5316091669454,41.9820493374208,5260.83432834651
"22",22,1.24728709612307,24.1608109114484,15.4040802422082,583.744783898765
"23",23,0.749375886357074,20.3835603353374,10.0998808547956,415.489531944341
"24",24,1.21911963508239,198.33241115468,124.289195068527,39335.7453144288
"25",25,1.38944845754023,180.568677593753,103.376936114265,32605.0473279567
"26",26,1.17169411822632,69.685612836563,43.3004681318803,4856.08463640735
"27",27,0.763220291107243,222.470273167558,135.491647451248,49493.0224432479
"28",28,1.81936774486461,54.6545406136091,33.6169300274011,2987.11880968464
"29",29,1.22202454820892,29.662931944461,18.6469826245577,879.889531541724
"30",30,2.14406421955159,26.6131003652548,17.3389208921005,708.257111051124
"31",31,1.41629136319029,31.7390945407176,20.1527613752651,1007.37012226461
